Sentence;Degree of Truth;Degree of Support
For some records in mania, context_no_sms is medium;1.0;0.4418604651162791
For almost no records in mania, context_no_sms is high;0.7171404839305828;0.2558139534883721
For almost no records in mania, context_avg_len_sms is low;0.22137317671973025;0.46153846153846156
For some records in mania, context_avg_len_sms is low;0.4452934899469362;0.46153846153846156
For some records in mania, context_avg_len_sms is medium;0.7306747393205107;0.5384615384615384
For almost no records in mania, context_avg_len_sms is high;0.784218745154646;0.28205128205128205
For some records in mania, context_no_calls is low;0.9623477297895843;0.4069767441860465
For almost no records in mania, context_no_calls is medium;0.5976991814341757;0.3372093023255814
For some records in mania, context_no_calls is medium;0.068967485232491;0.3372093023255814
For almost no records in mania, context_no_calls is high;0.6047643821197607;0.3488372093023256
For some records in mania, context_no_calls is high;0.06190228454690601;0.3488372093023256
For some records in mania, context_prc_nottakencalls is low;0.6727085047646918;0.4888888888888889
For almost no records in mania, context_prc_nottakencalls is medium;0.40530161047108204;0.5555555555555556
For some records in mania, context_prc_nottakencalls is medium;0.26136505619558453;0.5555555555555556
For almost no records in mania, context_prc_nottakencalls is high;0.7662196477307959;0.4444444444444444
For almost no records in mania, context_prc_out_calls is low;0.14399833916566485;0.4246575342465753
For some records in mania, context_prc_out_calls is low;0.5226683275010017;0.4246575342465753
For almost no records in mania, context_prc_out_calls is medium;0.06749879740033903;0.5205479452054794
For some records in mania, context_prc_out_calls is medium;0.5991678692663275;0.5205479452054794
For almost no records in mania, context_prc_out_calls is high;0.7002441652353055;0.3424657534246575
For some records in mania, context_avg_duration_calls is low;0.896323756411414;0.4523809523809524
For almost no records in mania, context_avg_duration_calls is medium;0.3739235042356478;0.44047619047619047
For some records in mania, context_avg_duration_calls is medium;0.2927431624310187;0.44047619047619047
For almost no records in mania, context_avg_duration_calls is high;0.778596737543117;0.34523809523809523
For some records in mania, self_avg_sleep_time is low;0.7894736842105187;0.3684210526315789
For almost no records in mania, self_avg_sleep_time is medium;1.0;0.15789473684210525
For some records in mania, self_avg_sleep_time is high;0.7894736842104987;0.3684210526315789
For almost no records in mania, self_avg_feeling is low;0.2499999999999999;0.3125
For some records in mania, self_avg_feeling is low;0.41666666666666663;0.3125
For most records in mania, self_avg_feeling is medium;1.0;0.75
For almost no records in mania, self_avg_feeling is high;1.0;0.1875
For some records in mania, self_avg_comment_len_mood is low;1.0;0.5
For almost no records in mania, self_avg_comment_len_mood is medium;1.0;0.0
For some records in mania, self_avg_comment_len_mood is high;1.0;0.5
For some records in mania, context_stddev_duration_calls is low;0.9751394655519998;0.47297297297297297
